Level,Starting Balance,Percentage Growth (%),Percentage Loss (%),Loss,Profit Goal,Pips Loss,Lot Size,Ending Balance,Notes
1,8.79,30,23.09442548,2.03,2.637,8.80,0.02307692308,11.437,
2,11.427,30,23.07692308,2.637,3.4281,7.69,0.034281,14.8651,
3,14.8551,30,23.07692308,3.4281,4.45653,7.69,0.0445653,19.32163,
4,19.31163,30,23.07692308,4.45653,5.793489,7.69,0.05793489,25.115119,
5,25.105119,30,23.07692308,5.793489,7.5315357,7.69,0.075315357,32.6466547,
6,32.6366547,30,23.07692308,7.5315357,9.79099641,7.69,0.0979099641,42.43765111,
7,42.42765111,30,23.07692308,9.79099641,12.72829533,7.69,0.1272829533,55.16594644,
8,55.15594644,30,23.07692308,12.72829533,16.54678393,7.69,0.1654678393,71.71273038,
9,71.70273038,30,23.07692308,16.54678393,21.51081911,7.69,0.2151081911,93.22354949,
10,93.21354949,30,23.07692308,21.51081911,27.96406485,7.69,0.2796406485,121.1876143,
11,121.1776143,30,23.07692308,27.96406485,36.3532843,7.69,0.363532843,157.5408986,
12,157.5308986,30,23.07692308,36.3532843,47.25926959,7.69,0.4725926959,204.8001682,WITHDRAW
13,204.7901682,30,23.07692308,47.25926959,61.43705047,7.69,0.6143705047,266.2372187,
14,266.2272187,30,23.07692308,61.43705047,79.86816561,7.69,0.7986816561,346.1053843,
15,346.0953843,30,23.07692308,79.86816561,103.8286153,7.69,1.038286153,449.9339996,
16,449.9239996,30,23.07692308,103.8286153,134.9771999,7.69,1.349771999,584.9111995,
17,584.9011995,30,23.07692308,134.9771999,175.4703598,7.69,1.754703598,760.3815593,
18,760.3715593,30,23.07692308,175.4703598,228.1114678,7.69,2.281114678,988.4930271,
19,988.4830271,30,23.07692308,228.1114678,296.5449081,7.69,2.965449081,1285.037935,
20,1285.027935,30,23.07692308,296.5449081,385.5083806,7.69,3.855083806,1670.546316,
21,1670.536316,30,23.07692308,385.5083806,501.1608947,7.69,5.011608947,2171.707211,WITHDRAW
22,2171.697211,30,23.07692308,501.1608947,651.5091632,7.69,6.515091632,2823.216374,
23,2823.206374,30,23.07692308,651.5091632,846.9619121,7.69,8.469619121,3670.178286,
24,3670.168286,30,23.07692308,846.9619121,1101.050486,7.69,11.01050486,4771.228772,
25,4771.218772,30,23.07692308,1101.050486,1431.365631,7.69,14.31365631,6202.594403,
26,6202.584403,30,23.07692308,1431.365631,1860.775321,7.69,18.60775321,8063.369724,
27,8063.359724,30,23.07692308,1860.775321,2419.007917,7.69,24.19007917,10482.37764,
28,10482.36764,30,23.07692308,2419.007917,3144.710292,7.69,31.44710292,13627.08793,
29,13627.07793,30,23.07692308,3144.710292,4088.12338,7.69,40.8812338,17715.21131,
30,17715.20131,30,23.07692308,4088.12338,5314.560394,7.69,53.14560394,23029.77171,WITHDRAW
31,23029.76171,30,23.07692308,5314.560394,6908.928512,7.69,69.08928512,29938.70022,
32,29938.69022,30,23.07692308,6908.928512,8981.607066,7.69,89.81607066,38920.30729,
33,38920.29729,30,23.07692308,8981.607066,11676.08919,7.69,116.7608919,50596.39647,
34,50596.38647,30,23.07692308,11676.08919,15178.91594,7.69,151.7891594,65775.31241,
35,65775.30241,30,23.07692308,15178.91594,19732.59072,7.69,197.3259072,85507.90314,
36,85507.89314,30,23.07692308,19732.59072,25652.36794,7.69,256.5236794,111160.2711,
37,111160.2611,30,23.07692308,25652.36794,33348.07832,7.69,333.4807832,144508.3494,
38,144508.3394,30,23.07692308,33348.07832,43352.50182,7.69,433.5250182,187860.8512,
39,187860.8412,30,23.07692308,43352.50182,56358.25237,7.69,563.5825237,244219.1036,WITHDRAW
40,244219.0936,30,23.07692308,56358.25237,73265.72808,7.69,732.6572808,317484.8317,
41,317484.8217,30,23.07692308,73265.72808,95245.4465,7.69,952.454465,412730.2782,
42,412730.2682,30,23.07692308,95245.4465,123819.0804,7.69,1238.190804,536549.3586,
43,536549.3486,30,23.07692308,123819.0804,160964.8046,7.69,1609.648046,697514.1632,
44,697514.1532,30,23.07692308,160964.8046,209254.246,7.69,2092.54246,906768.4092,
45,906768.3992,30,23.07692308,209254.246,272030.5197,7.69,2720.305197,1178798.929,
